Western Carolina,90,North Carolina-Asheville,81
Wagner,59,Seton Hall,69
Cal State Northridge,72,South Dakota,76
Seton Hall,69,Wagner,59
Sacramento State,77,Seattle,65
Seattle,65,Sacramento State,77
South Dakota,76,Cal State Northridge,72
Stanford,93,Charleston Southern,59
Charleston Southern,59,Stanford,93
Florida A&M,51,Southern Illinois,81
Southern Illinois,81,Florida A&M,51
Evansville,80,Southeast Missouri State,65
Southeast Missouri State,65,Evansville,80
Texas-San Antonio,45,Clemson,78
Florida State,109,Nicholls State,62
Hawaii,74,Coastal Carolina,63
Nicholls State,62,Florida State,109
Coastal Carolina,63,Hawaii,74
Wake Forest,90,Bucknell,82
UC-Davis,79,Portland,66
Bucknell,82,Wake Forest,90
Army,75,Binghamton,60
Binghamton,60,Army,75
Portland,66,UC-Davis,79
Robert Morris,44,Cincinnati,106
Clemson,78,Texas-San Antonio,45
Cincinnati,106,Robert Morris,44
UC-Irvine,77,Loyola Marymount,53
Loyola Marymount,53,UC-Irvine,77
Missouri,73,Maryland-Eastern Shore,55
Minnesota,67,Louisiana-Monroe,56
Maryland-Eastern Shore,55,Missouri,73
New Mexico,83,New Mexico State,74
New Mexico State,74,New Mexico,83
Nevada,83,Montana State,62
Montana State,62,Nevada,83
Iowa,103,Coppin State,68
Coppin State,68,Iowa,103
Illinois,80,North Dakota State,74
North Dakota State,74,Illinois,80
Lipscomb,69,Denver,82
Louisiana-Monroe,56,Minnesota,67
Denver,82,Lipscomb,69
Lafayette,87,Saint Peter's,86
Saint Peter's,86,Lafayette,87
Tennessee State,67,Ohio,75
Ohio,75,Tennessee State,67
Arkansas-Pine Bluff,72,Oklahoma State,86
Buffalo,58,Old Dominion,77
Oklahoma State,86,Arkansas-Pine Bluff,72
Texas-Rio Grande Valley,84,North Florida,106
Presbyterian,74,South Carolina Upstate,73
Manhattan,63,Saint Mary's (CA),89
South Carolina Upstate,73,Presbyterian,74
Baylor,67,Oregon,74
Old Dominion,77,Buffalo,58
Oregon,74,Baylor,67
Michigan,88,Elon,68
Elon,68,Michigan,88
Georgia Southern,72,Mississippi,82
Mississippi State,72,Southern,76
Mississippi,82,Georgia Southern,72
George Mason,60,Mercer,69
Marquette,75,IUPUI,71
Mercer,69,George Mason,60
Miami (FL),93,Louisiana-Lafayette,77
Louisiana-Lafayette,77,Miami (FL),93
Eastern Kentucky,59,North Carolina-Wilmington,78
North Florida,106,Texas-Rio Grande Valley,84
